Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kazakhstan,160716,160477,172377,188515,201614,210611,222634,223920,238973,241502,254877,236196,228495,225477,220102,213877,212395,228906,234952,233366,250649,261740,266587,227197,204670,181277,158794,137856,141272,128892,130593,127975,142441,158239,170858,181546,202963,214411,254174,225138,242123,261573,249337,232261,236248
Kenya,3728,3727,3891,4040,4054,4011,4571,4876,4878,4831,5172,5138,4826,4507,5211,5354,5981,6208,6175,6532,6430,6172,6224,6133,6122,6621,7242,6902,7428,7664,8526,7966,7733,6894,7924,8832,9831,9857,10401,12133,13179,13471,13052,13710,14084
Kiribati,5,5,5,5,6,6,6,9,17,15,13,46,22,27,25,27,18,21,23,20,20,24,21,21,21,22,25,22,23,23,29,29,27,28,29,28,28,24,27,32,35,38,40,41,42
Kuwait,38193,40417,40923,36550,29708,25390,25942,25594,29526,33975,31962,30334,32624,35152,35789,40567,43531,46689,56281,65724,32221,38712,26916,33816,40257,39739,39112,41250,45958,49693,54317,57375,60144,62860,65946,74712,77245,77056,80981,87206,86845,90532,94002,96082,98559
Kyrgyzstan,15204,15234,16256,17226,18151,19195,20026,20602,22254,22736,23984,23008,21998,20974,20075,19511,19452,21143,21786,21871,23605,21212,13879,10175,6634,4668,5842,5776,6114,4873,4755,4020,5022,5640,5578,4163,4016,4989,5381,4111,4983,5193,7310,7663,7370
Lao People s Democratic Republic,1405,1387,1106,1406,1452,1469,1278,791,1470,1116,1309,1302,1213,1463,1370,1330,1203,1165,1164,1289,1367,1366,1252,1137,1524,1342,1388,1543,1532,1573,1322,1357,1309,1340,1446,1501,1693,1692,1907,2444,2837,3073,3269,3301,3374
Latvia,13682,13696,14772,15734,16045,17564,17485,18302,18419,19437,19491,20350,20282,20550,20407,20400,21027,21078,21311,20959,20342,18528,14735,12427,10915,9565,9616,8976,8595,7916,7300,7656,7608,7842,7869,7972,8408,8753,8262,7499,8517,7755,7748,7606,7531
Lebanon,5379,5469,5986,7396,7527,6709,6285,5465,6616,7441,7520,7615,5602,5981,6112,7124,7522,7692,5934,5975,5975,7410,7960,11361,12486,14468,15030,16498,16376,16871,15231,16437,16371,16395,16594,16511,15565,14140,17740,21495,20565,20900,21108,21385,21108
Lesotho,107,106,108,117,121,130,136,142,144,172,157,156,157,156,151,159,164,206,172,191,142,164,162,165,188,198,197,227,212,230,231,238,231,244,245,242,243,260,272,261,282,294,301,313,323
Liberia,312,308,383,362,367,416,665,685,708,955,906,933,825,864,766,810,729,967,858,664,392,325,301,304,287,301,316,377,378,410,434,481,480,514,525,574,592,636,651,624,678,708,737,787,808
Libya,37824,25924,19618,18117,12437,16015,19405,21031,22597,24841,29045,24965,28069,27323,28573,27150,32073,30256,33360,34301,36788,36345,37231,39687,45382,48786,51844,48110,47804,46398,49207,49019,50496,54295,54460,55897,55627,53160,54557,61756,65990,42573,49718,49987,50604
Lithuania,19909,19977,21310,22945,24555,26753,27868,28857,29856,30880,32081,32475,32512,32613,33137,33258,33545,33773,33701,33230,34943,36889,20824,16142,15555,14807,15276,14776,15589,13052,11374,12100,12185,12174,12792,13523,13864,14977,14897,12516,13341,13453,13762,12866,12349
Luxembourg,18397,17151,16851,18196,16885,13410,14287,13576,14848,13977,13142,11164,10487,9837,10772,10965,10704,10174,10712,11518,11657,12106,11760,11991,11108,8863,8923,8397,7740,8101,8696,9272,9962,10386,11818,12037,11866,11270,11158,10533,11144,11012,10633,10403,10378
Madagascar,434,435,455,495,509,547,692,731,778,923,899,876,779,892,878,943,865,1096,1241,1054,938,1093,1111,1151,1353,1455,1482,1700,1537,1598,1731,1882,1859,1964,2026,2073,2162,2396,2474,2431,2635,2740,2812,2927,3015
Malawi,472,475,477,495,513,584,552,551,632,718,671,647,596,534,509,541,561,701,684,729,666,793,792,786,932,978,971,1152,1027,1087,1051,1113,1138,1158,1204,1243,1285,1359,1443,1431,1542,1577,1611,1727,1775
Malaysia,13999,14410,14426,14984,17821,19125,21044,20973,22957,25833,27704,29269,30856,34283,35442,36885,36960,37917,40532,47606,55493,66032,69103,75000,80476,86641,98816,105793,104045,112047,122860,127493,137628,146155,161824,173041,180248,197657,209160,188995,203178,210983,212547,229086,227482
Maldives,10,10,10,10,11,12,12,17,36,30,20,27,25,25,46,49,55,61,60,55,58,58,56,65,113,162,171,143,166,179,281,317,402,463,515,539,615,631,681,682,818,891,930,942,972
Mali,272,271,280,309,315,333,382,412,425,476,484,536,481,477,481,508,494,590,556,606,539,624,641,660,845,894,901,1055,939,976,940,1000,999,1084,1086,1100,1133,1249,1312,1307,1418,1473,1526,1589,1639
Malta,684,684,857,823,753,679,766,810,943,920,1021,1155,1322,980,1337,1168,1884,1975,2148,2329,2323,2219,2177,2814,2515,2387,2332,2478,2382,2416,2136,2496,2325,2615,2605,2732,2603,2756,2592,2478,2468,2493,2433,2464,2413
Martinique,482,485,564,616,525,680,618,661,694,630,669,700,685,698,695,769,844,954,1167,1464,1547,1416,1539,1755,1751,1798,1830,1727,1695,1703,1667,1782,1758,1810,1926,1891,1908,2008,1998,2035,2165,2308,2314,2312,2338
Mauritania,143,144,174,167,175,199,272,275,285,358,334,360,332,341,422,439,328,427,590,614,486,577,1333,1316,994,1076,982,1043,1114,1132,1304,1413,1423,1486,1594,1639,1882,1996,2003,1978,2188,2276,2319,2406,2468
Mauritius,159,160,188,184,188,189,303,316,314,406,429,448,387,466,459,500,697,920,970,969,977,1082,1110,1070,763,831,872,956,999,1074,1494,1796,1646,1740,2171,2293,2474,2580,2762,2730,2898,3015,3046,3172,3270
Mexico,120260,120730,132849,142899,157827,166097,177211,183271,204759,216940,240124,258243,275847,259944,264098,272962,268735,280235,278745,291902,289525,314216,317909,310931,333105,316981,332350,345866,365588,360831,378574,376902,382302,390047,396441,415019,425694,441173,437102,433546,450531,464445,481349,463534,456270
Mongolia,1154,1153,1013,779,809,809,821,874,962,1601,8439,7974,8364,8609,9281,11918,13072,13890,14721,13989,13174,14852,12937,11915,10394,10338,8749,8577,8604,8659,9046,9014,9667,9375,9579,9735,10887,11489,11629,12117,13072,13548,14055,14283,14696
Montserrat,10,10,13,14,13,16,13,15,14,13,14,18,17,18,19,17,20,23,25,26,31,29,32,29,31,35,33,31,28,27,272,382,364,373,325,238,207,274,242,261,354,294,294,294,298
Morocco,7447,7522,8244,9451,10367,11035,12136,13478,14488,15816,16398,16596,17408,18381,18547,19391,19966,20567,21817,23637,24629,25311,27157,26980,29692,30377,30306,32028,32723,34329,35425,38666,40151,39307,42852,46164,46178,47844,48538,48314,51166,54716,55413,58563,60653
Mozambique,3165,3179,2924,3113,2941,2543,2580,2511,2197,2077,2511,2214,2047,1875,1585,1574,1539,1538,1546,1529,1155,967,1154,1345,1140,1252,1208,1334,1289,1283,1564,1892,1982,2522,2784,2668,2828,3369,3225,3461,3790,4243,4149,4310,4382
Myanmar,4672,4712,4630,3670,4247,4164,4467,4784,4954,5151,5462,5409,5578,5408,5926,6329,6583,4951,4727,4717,4417,4340,4638,5168,6069,7358,7711,7713,8383,9202,10013,8719,8731,10899,10400,11019,10215,10689,8149,7651,8474,8622,8922,8993,9129
Namibia,544,545,556,596,624,631,597,658,633,732,707,755,750,722,717,731,569,687,821,893,758,1142,1241,1440,1660,1771,1907,1996,2060,1865,1829,2271,1969,2094,2228,2344,2372,2450,2813,2879,3013,3165,3315,3471,3560
Nauru,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,255,260,340,482,478,398,340,383,363,534,597,521,585,811,871,660,877,931,934,748,1068,1316,1380,1528,1862,2026,2148,2376,2520,3290,3377,3614,2944,3167,2968,3330,2767,2783,3105,4089,4811,5438,6164,6361,6503
Netherlands,135812,136186,151648,158021,150090,141256,151958,149952,155047,164877,157335,155561,145319,141101,147423,150699,153540,157694,157352,160527,158870,166310,164595,169142,169884,172111,181287,173079,174589,169087,170997,176177,177334,180110,182466,178824,173418,174952,177557,171019,181694,170371,169581,166916,158106
Netherlands Antilles,14554,14555,14153,15648,14164,10237,10890,11024,9313,9224,8720,8085,7339,6872,6734,4543,4342,4011,3505,3003,2713,2812,2908,2372,2675,2681,2707,5317,5494,5470,5689,5776,5528,5538,5783,6089,6001,6520,6449,6040,4935,6475,6466,6383,6464
New Caledonia,219,217,343,599,674,693,724,1284,884,1013,1330,1304,1028,984,999,847,886,980,925,925,920,956,967,1020,745,948,1085,1166,1292,1228,1436,1585,1780,1776,1833,1899,1694,1586,1495,1517,1649,1765,1789,1805,1862
New Zealand,15047,14644,16863,18404,19429,18334,20137,20753,19480,17720,17772,17584,19287,19500,19941,20467,19502,20745,22007,22049,23591,24239,25962,25764,26122,26808,28171,30607,30068,31848,33042,35204,35256,37161,35771,36435,36490,35688,36593,33703,33690,33094,33388,33328,34106
Nicaragua,1615,1623,1680,1893,2027,2009,2300,2817,2542,1647,1971,2083,2026,2193,1992,2006,2369,2348,2143,1848,1956,1967,2286,2242,2549,2710,2871,3074,3574,3605,3754,3985,4119,4269,4416,4299,4561,4687,4489,4488,4812,4833,5003,4934,4991
Niger,304,301,303,339,346,360,424,453,492,575,613,643,634,685,670,731,672,880,906,855,747,846,822,838,925,979,989,1157,1051,1110,1142,1123,1241,1351,1356,1388,1446,1572,1653,1638,1772,1861,1914,1992,2053
Nigeria,28882,42675,55303,66483,84048,64051,75248,66514,69582,99474,89650,73350,69932,70032,70343,73262,71589,67660,76736,78415,74275,80298,88113,85579,79756,84888,98926,98193,87639,87517,97557,103054,93235,99209,94791,98347,87092,80440,82722,76680,85396,92468,94295,93866,93872
Norway,36850,35217,38317,38899,37442,36840,38835,39889,38540,41323,39687,36194,32812,32732,34627,35610,38111,36806,37857,36948,37118,34617,37320,39447,41370,41484,41769,44196,45882,47499,42445,42953,42349,45120,45338,43886,44511,45260,45075,44215,46523,45480,44172,44817,44376
Oman,7322,7322,7330,7363,7732,25828,28756,28708,23731,21406,12873,14401,12547,14277,12182,9476,11287,10962,12214,12115,15642,19078,18183,17193,15542,18823,19885,20491,19946,22468,25044,28450,30459,32421,31877,34589,42901,46877,53274,60901,65151,72158,73417,74682,74288
Pakistan,19047,19208,18743,19918,21175,23431,22714,23905,25303,27333,29138,31483,35207,37122,39820,43594,44928,52589,56822,58739,61863,63123,69426,74659,78272,83550,90055,93393,95080,104027,105080,107403,107761,114693,128671,130772,141695,157431,153485,156417,151504,152300,151691,151862,158112
Palau,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,18,18,20,14,38,28,26,31,31,28,18,18,20,27,35,29,33,31,32,32,31,32,33
Panama,2577,2582,2795,3130,3171,3232,3229,3201,3046,3302,3178,2768,3128,3548,2956,2810,2908,3218,2472,2584,2713,3129,3738,3824,4070,4380,4417,4642,5723,5010,5195,6209,5416,5531,5624,7157,7559,7292,7375,8502,9072,9582,10278,10102,10230
Papua New Guinea,1231,1236,1104,1488,1602,1644,1579,1684,2215,1966,2090,2501,2348,2627,2567,2710,2491,2602,2545,2487,2534,2510,2323,2282,2327,2402,2408,2623,3350,2777,2979,2998,3649,3988,4534,5093,5482,5298,5873,5570,6106,6599,6811,6895,7118
Paraguay,654,665,723,796,775,830,920,1296,1551,1487,1516,1474,1461,1424,1564,1562,1671,1849,2082,2085,2218,2174,2600,2955,3439,3886,3850,4256,4463,4469,3696,3833,4017,4142,4197,3869,4060,4191,4236,4554,5131,5315,5502,5450,5526
Peru,17339,17338,17330,18379,19935,20303,20710,20400,20485,21378,22499,23239,22856,19424,20121,19444,21140,22876,23152,20906,20753,20164,21034,22071,22753,25868,28421,28328,27253,29311,28984,26875,28036,27526,31680,31695,31288,34218,38759,41653,44965,48020,47525,50454,51959
Philippines,25378,25643,26655,30620,29198,32174,32381,35917,37344,40171,36834,34823,35218,37298,32369,31025,29112,35828,37820,39624,42048,41577,45028,48898,52973,63455,69392,77589,76925,74381,74985,73260,74523,76695,78646,81008,73131,77002,78819,79604,85534,86280,87204,92301,96940
Poland,295445,303219,315955,332593,344540,359985,382723,395958,418859,419320,430972,396508,402376,404130,420869,432176,443067,459133,448533,429705,357727,358508,348970,335252,330619,351917,366532,356297,330658,320615,309303,305529,294494,304383,308604,306714,320167,321705,317000,302851,322664,317812,308546,308462,298131
Portugal,16418,17599,17894,20002,20048,21620,22948,22683,23545,26275,27928,29361,29920,30492,29364,27956,31500,32403,33508,41748,42861,44765,48604,47538,49072,52685,50822,53096,57803,64680,64146,63477,67535,62511,63980,67297,61206,60702,58028,57860,52760,52336,49872,50006,48255
Puerto Rico,1303,1396,1483,1480,1447,1293,1280,1182,1183,1025,970,934,833,804,839,773,774,874,921,999,835,837,818,830,860,874,888,893,873,952,958,924,925,962,970,957,915,846,788,640,584,590,601,595,593
Qatar,14718,18314,22042,24688,20802,19860,18585,16627,18689,17370,14252,11545,12334,10990,15971,15066,15839,16001,16331,17086,16572,17615,18532,19076,20039,20504,22327,27173,28658,31368,30880,31405,35268,37318,39953,41696,46976,53740,58879,63074,71006,75344,84172,87770,88751
Republic of Korea,61159,61728,63680,78684,82809,89811,100425,114204,120559,136683,139276,145824,145544,158750,178942,187478,195172,200847,226772,238256,268065,293108,311722,341849,368501,400533,426437,449116,384440,420446,478539,492491,488768,492848,512874,513027,523270,530406,541050,549856,593700,607230,602717,608881,610066
Republic of Moldova,16455,16484,17655,19190,20698,22506,23734,24198,25150,25739,26993,26650,27038,27312,27521,27749,28526,29407,29552,29405,31937,25749,20445,17315,14073,12159,10480,9526,8608,7299,6773,7072,7216,7768,7824,8442,8149,8182,8010,7778,8375,8466,12708,7885,7765
RŽunion,133,135,173,157,163,187,224,229,223,278,255,283,269,319,345,360,404,525,541,542,542,646,607,688,472,503,513,520,687,698,795,843,796,832,859,868,919,953,990,963,998,1019,1058,1115,1142
Romania,128780,129351,133827,145923,147381,159104,173378,181426,196305,201226,198876,199760,198468,200297,197890,196857,202769,210199,214451,209680,185274,150561,135311,126504,123684,129466,133092,122714,107782,91839,95670,101676,101469,106977,104787,103486,107477,105069,103391,85174,82575,89261,90111,78038,78289
Russian Federation,1316199,1317466,1381609,1461020,1534994,1644038,1701282,1740979,1849654,1874533,1929299,1929266,1959609,1986572,2011513,2054100,2113811,2170081,2223531,2232669,2378913,2342139,2161169,1972620,1774287,1735010,1690940,1579100,1582441,1628537,1664711,1671669,1659926,1724350,1720824,1720003,1755363,1757207,1742878,1639821,1720282,1803253,1826347,1791984,1766427
Rwanda,255,258,282,286,300,331,318,342,351,365,389,454,462,471,546,593,624,789,756,799,615,672,648,595,560,646,675,838,819,885,828,883,901,950,950,947,967,1049,1098,1077,1169,1215,1253,1303,1342
Saint Helena,3,3,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,5,5,5,10,5,5,6,6,6,3,4,4,4,11,8,8,8,9,10,9,10,10,11,11,12,12,13,13
Saint Kitts and Nevis,57,52,64,62,58,75,73,80,76,73,81,73,76,67,72,68,77,89,95,98,89,97,104,100,111,108,121,131,125,128,146,145,142,145,149,141,141,143,146,149,164,172,172,172,174
Saint Lucia,95,96,121,130,118,143,125,138,129,128,139,137,146,148,156,160,177,209,233,242,241,241,242,233,261,266,271,273,305,319,389,406,393,407,440,436,441,467,476,488,511,542,545,545,551
Saint Pierre and Miquelon,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,3,2,3,3,4,4,4,4,4,4,4,4,4,6,7,7,7,6,6,7,7,7,7,7,7,7,7,8,7,8
Saint Vincent and the Grenadines,40,40,50,53,50,62,57,61,59,58,70,72,73,76,80,81,89,108,114,138,139,136,138,132,172,177,179,183,221,230,241,249,242,248,262,257,256,272,271,279,295,306,308,308,311
Samoa,29,28,25,28,30,31,30,38,69,61,53,162,86,103,138,128,91,105,105,93,97,101,104,102,92,98,112,108,115,111,130,133,117,118,114,115,106,93,97,108,116,124,129,130,135
Sao Tome and Principe,7,7,7,7,8,8,12,13,14,17,18,19,16,17,17,19,22,28,22,20,31,35,33,32,23,25,26,28,27,28,37,39,39,40,41,42,44,47,50,50,53,55,56,58,60
Saudi Arabia,46899,58007,75694,103011,108266,88743,110384,119101,127076,151283,187174,173625,177674,176542,132173,134216,133872,145102,157546,158939,168154,173279,186653,195940,211925,215412,227781,231415,242609,247595,260258,271452,283732,297797,292222,306034,321119,337793,362948,390245,421544,438234,459173,462563,494822
Senegal,1353,1353,1434,1544,1653,1804,1886,2002,1958,2168,2246,2217,2125,2119,2263,2343,2243,2260,2173,2284,2371,2385,2620,2559,2614,2761,2978,3275,3663,4040,4072,4688,4823,4569,5218,5779,5643,6237,6176,6524,6947,7598,7403,8002,8189
Serbia and Montenegro,24466,24585,25123,27392,28981,30508,32390,34298,37090,39468,39343,46729,48838,53481,55656,58666,61288,58568,61463,61561,65793,55060,50913,44714,41186,46578,54471,59359,59299,42164,50561,54333,57861,61618,65820,60675,63191,61492,61207,57055,58091,62709,61719,63307,59250
Seychelles,37,37,36,38,39,38,76,75,79,104,124,112,91,153,155,168,192,257,287,246,209,245,219,213,122,129,134,148,153,155,203,226,313,311,314,340,405,434,447,459,484,507,508,528,544
Sierra Leone,346,341,396,361,370,415,453,456,460,572,587,600,601,602,546,610,677,876,883,822,694,808,623,614,558,595,658,692,676,691,719,763,785,855,874,882,935,1000,1054,1024,1122,1168,1198,1235,1268
Singapore,6519,6543,7831,8768,9142,9197,9974,11042,12660,13667,13723,14768,15468,16795,17086,17608,18080,18332,20961,22252,30242,32101,33333,38561,40587,43373,45454,45388,45183,48396,48677,48768,46874,48749,40276,40310,41753,43373,43999,42153,45427,44684,44611,46754,47786
Slovakia,47025,46986,47799,49115,49811,51227,51969,54047,57088,58113,61913,60480,58566,58298,60425,60170,57348,59304,60210,59811,60227,52221,48842,47416,45074,45562,45738,45675,44624,44084,42037,42383,42068,42314,42070,42632,42598,41464,41511,37610,40664,38667,38685,38789,34685
Slovenia,8384,8329,8458,9568,10269,9689,10060,10600,11680,12405,11615,11830,12113,13502,12122,12185,12951,11170,15359,16506,15611,14457,13997,14732,14852,15681,16553,17039,16783,16186,15861,17566,17716,17452,17648,17792,18130,18063,18998,17159,17247,16991,16874,17250,16673
Solomon Islands,39,39,35,40,44,46,46,56,106,94,75,141,103,117,114,107,98,105,117,113,115,115,108,107,112,118,123,115,120,126,146,149,139,144,157,159,160,158,179,202,233,253,264,268,276
Somalia,330,331,382,379,409,455,514,550,585,718,705,776,729,730,720,734,841,1061,810,814,665,629,616,626,703,728,727,849,784,823,825,857,845,925,936,931,929,1009,1067,1021,1110,1157,1190,1239,1278
South Africa,183006,181915,188484,205418,212497,228928,243116,242419,220122,225926,235065,244132,239464,229770,244732,246878,242269,257855,257243,261660,268172,262382,264460,266261,272471,285327,296304,312962,318700,300327,306828,292974,307419,336049,359854,371583,378449,398666,423603,399985,405630,387624,385209,386805,392719
Spain,141501,138069,149647,162247,174893,180559,198430,190496,188277,200431,210751,216193,209556,212871,201860,194998,198944,199777,203991,222590,226846,234405,243090,228881,239175,251491,241457,260254,268683,290720,306335,306367,324737,331798,348065,362954,353760,367076,335503,296755,282907,283640,274234,244078,241637
Sri Lanka,3117,3167,3780,3942,3393,2982,3050,3291,3888,4203,4201,4328,4850,4955,4326,3998,3967,4548,4378,4164,4224,4409,5495,5380,6181,6213,8771,8744,9036,9973,11451,11350,11873,12823,13257,14501,12996,14232,13508,13248,14866,15450,15752,16167,16648
Sudan (former),3404,3418,3699,4781,4508,3522,3408,3550,3222,3319,3918,3805,3925,3967,3599,4237,4134,3185,4598,4139,5520,4918,4655,3318,4887,4568,4499,5443,4886,5368,6041,6625,8151,8180,9272,10452,12891,14089,14869,15450,16231,16806,16408,16861,17267
Suriname,1626,1587,1771,1987,1634,2053,1891,2032,2152,1916,1916,1740,1538,1202,1149,1351,1381,1465,1376,1421,1650,1668,1626,1503,1484,1557,1574,1522,1599,1560,1706,1849,1886,1920,1854,1822,1844,1889,1855,1889,1988,2134,2157,2137,2162
Swaziland,451,451,390,492,534,494,396,428,597,680,532,514,381,248,239,331,320,476,326,281,250,249,198,187,159,172,167,188,189,241,374,418,422,434,443,463,498,523,541,547,583,609,613,639,659
Sweden,95215,87834,88202,90065,82873,84464,91274,87750,82374,85286,77927,70532,64480,58805,58275,62228,63837,61941,60079,57265,56693,57391,59860,59663,62059,61773,67223,60745,62174,61098,57269,57265,58422,58849,57395,54345,54032,51382,49384,45829,51739,47072,45533,45198,44314
Switzerland,41299,43216,44002,47442,42650,40119,41826,42296,43449,42124,42885,40537,38347,42459,41976,45202,45118,43547,43534,43354,45542,47589,47681,45183,44205,44960,45686,44099,45939,45919,45066,45982,44948,46239,46738,47364,46852,44845,46366,44810,46505,42445,42513,44295,40229
Syrian Arab Republic,6294,6341,6101,5802,7894,9249,10616,11676,11967,15230,14269,16028,19040,22430,25142,22656,23663,30169,29577,28485,32774,36052,35682,36745,38628,40218,43236,43090,46058,45568,46315,45253,45931,45771,48492,58663,61406,64670,66014,61742,61535,56432,52825,53145,52681
Tajikistan,7509,7544,7941,8320,8701,9393,9648,9897,10162,10419,10892,10917,10944,11079,10965,11448,11859,12051,12268,12375,12172,11610,8598,5735,3539,3005,2669,2971,3187,2993,2734,2689,2760,2818,3346,3196,3489,4062,3756,3558,3650,3644,3626,3714,3647
Thailand,17978,18053,20439,23021,23060,23624,27021,29905,33183,35305,37063,36428,35240,39180,42985,48296,49761,57463,65533,76325,92750,102684,112279,127191,142289,161095,181032,184565,163044,170553,170911,179630,190834,199634,218179,225699,228784,234207,236544,229670,246982,252863,262321,261908,271978
The former Yugoslav Republic of Macedonia,9089,8523,8705,10139,10456,8281,9008,9410,9349,10631,9543,9998,8823,8250,9347,9813,10082,10057,10610,10629,11171,9881,8758,8990,8722,8666,10207,9191,10094,9325,9012,9199,8672,9422,9180,9649,9653,10333,10123,9097,9136,10137,9825,9870,9491
Timor-Leste,50,50,50,50,52,56,50,51,110,85,59,63,66,70,72,64,59,66,63,63,63,65,59,57,68,80,74,65,123,222,300,192,174,177,423,249,251,205,221,271,288,333,350,353,361
Togo,348,373,418,367,340,395,350,461,501,559,515,499,564,412,458,432,640,695,681,692,756,700,535,413,749,739,1132,851,1048,1357,1255,1129,1200,1440,1379,1314,1223,1213,1588,1646,1786,2300,2023,2095,2134
Tonga,11,11,11,11,11,12,11,11,12,13,13,13,13,13,13,11,11,12,11,11,63,83,110,114,121,86,229,172,159,188,189,167,111,110,122,162,209,176,197,187,192,195,196,198,204
Trinidad and Tobago,6265,6231,6331,6605,6400,5833,6701,7457,7771,7788,8405,9008,10055,10499,10900,11007,11005,11358,12092,12011,11881,12056,12477,11831,12751,12606,13795,14209,15903,16852,20564,22446,23845,25803,26374,31836,34294,37496,36778,35102,38441,36297,33642,34508,34017
Tunisia,4225,4243,4774,4806,5296,5391,5758,6482,7194,8505,9377,9691,9411,10947,11396,11787,12124,12266,13065,14104,14672,15144,16093,16736,16877,17238,17764,18314,19093,20094,21068,21928,21709,21501,22732,23337,24106,24826,25299,24983,25738,24414,24670,24363,24278
Turkey,44850,49144,56973,61887,64531,69920,77601,85374,84232,77878,81257,81488,88357,93247,98694,107246,116569,128377,124324,136638,149391,151835,155903,162842,162057,176431,192634,202827,205250,203219,227112,206593,217048,228431,235205,245962,272150,298672,300659,295585,308043,327722,338977,329089,353194
Turkmenistan,19191,19227,20430,21579,22801,24795,26141,27175,28247,29378,31334,32509,33712,34907,36363,38149,39230,40388,41419,42348,45643,38775,28597,27127,34228,34662,31558,31355,32618,38572,39337,40809,43628,48835,50831,52953,54850,60498,61943,54494,61502,66829,67609,61967,70561
Turks and Caicos Islands,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,6,6,6,7,13,12,14,15,15,11,12,19,21,24,26,26,29,33,35,38,46,46,50,55,55,56,56,56
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uganda,244,251,238,242,247,237,356,397,397,436,488,473,448,443,458,483,550,671,765,728,1517,1851,1881,1970,2340,2432,2459,2897,2717,2836,2719,2879,2860,3167,3206,3232,3231,3494,3893,3743,4123,4373,4531,4779,4892
Ukraine,497003,496603,524337,563313,591423,602900,649709,654390,731598,745415,764455,733415,740509,752105,757572,759161,788915,828040,833974,833949,782438,732515,642308,560915,464031,458186,391184,376079,358824,357686,354869,353285,353554,376037,356638,347920,350552,358475,342294,283200,305045,320961,311430,297977,249065
United Arab Emirates,19483,25451,27768,35857,36023,36696,45594,45892,52638,37912,41184,38116,38146,36779,49879,51446,49818,51641,50550,56494,56430,64280,62087,65487,72136,76949,85163,83836,87083,89473,93468,93825,104516,110459,115474,118888,125967,136388,158747,163600,170970,176721,188382,193666,201052
United Kingdom,676871,668529,647486,679653,636277,615962,621344,632197,630790,666866,606205,586371,572562,564126,547289,573604,586780,592772,593807,579560,578992,588076,575032,559141,554947,546760,564863,542279,545406,540398,547620,560819,543387,556407,555922,554227,555157,545087,531732,477835,492690,454894,467292,456197,415421
United Republic of Tanzania,1547,1557,1815,1895,1737,1622,1568,1598,1672,1764,1739,1759,1602,1568,1639,1729,1827,1860,1940,1956,2067,2193,2030,2131,2111,2906,3432,3162,2791,2594,2986,3204,3664,3888,4401,5637,6022,5876,6169,5910,6447,7662,8852,8960,9084
United States of America,4596467,4460501,4708985,4895908,4731910,4520860,4814145,4976614,4973034,5011592,4788097,4718787,4464628,4440584,4648696,4671642,4639779,4800000,5022527,5082556,4988085,4948989,5025587,5140235,5222664,5275485,5433726,5602272,5631052,5657827,5858290,5803577,5736662,5802994,5863506,5872220,5750952,5833702,5645124,5232738,5505479,5377431,5152356,5286107,5334530
United States Virgin Islands,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uruguay,5473,5457,5918,5584,5410,5746,5920,5805,5889,6378,5718,5162,4779,3825,3444,3217,3171,3567,4548,4896,3885,4408,4833,4585,4303,4708,5516,5603,5806,6820,5447,5018,4626,4596,5714,5492,6426,5961,7842,8003,6630,7936,8094,8024,8114
Uzbekistan,48536,48832,51639,54620,58064,64647,65755,68485,70984,73503,78626,82256,85660,88429,91456,95781,99548,103197,106088,107635,121848,125315,117402,117585,112916,100849,102211,104077,118591,119764,120212,122095,127678,122580,119902,115312,119257,119703,119504,107945,106638,114926,115466,121356,122621
Vanuatu,25,25,22,25,29,29,31,48,85,79,59,90,66,69,67,74,67,73,75,63,65,57,41,41,42,45,47,43,45,47,63,65,59,61,66,67,66,60,69,78,92,101,106,107,111
Venezuela (Bolivarian Republic of),61176,59819,60799,69546,68682,65256,69605,72341,77149,87757,95597,96424,97575,96442,98129,98573,99438,98928,100248,106293,110686,109704,112455,119181,120040,129975,137362,143153,148968,133554,141973,147291,141549,136277,143307,162273,165886,150323,184916,184395,197573,176701,189537,198157,195213
Viet Nam,17272,17157,16690,18593,15388,18045,13065,14208,14803,15449,16132,16590,17965,19377,19424,19587,21495,23926,23453,20127,20358,20476,21412,25108,29526,33951,38199,44064,49316,50518,55753,61253,72206,76769,90796,98968,101768,112593,124444,140624,154354,161956,164538,171634,190222
Western Sahara,8,8,8,7,8,8,17,15,18,33,43,45,35,35,33,40,48,87,66,55,101,113,100,93,60,69,70,76,78,80,106,117,117,121,128,137,148,159,169,171,183,191,193,201,207
