Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bosnia and Herzegovina,15648,15684,14592,15944,17178,17648,16117,17497,17056,16716,16520,18956,20858,22253,21982,22805,23073,22018,21564,21932,24437,21877,16189,13587,3296,3510,4394,8721,11031,10877,14251,14056,14801,15149,15998,16781,18637,19636,21531,21432,21960,24776,24332,25253,23641
Botswana,115,116,123,130,127,169,683,775,889,948,566,1472,1539,1508,1503,1612,1850,1918,2295,2529,2994,2959,3588,3539,3404,3534,3174,3385,4082,4133,4399,4101,4279,4205,4321,4623,4623,4577,4631,4425,5197,4820,4997,5423,5695
Brazil,104433,104065,113643,132036,142313,150043,166903,172911,186310,198611,197894,184330,183532,174486,176504,185221,206167,210964,214574,217135,217375,224627,228140,236845,244870,263421,284828,303461,312518,321966,336905,340232,339982,334777,353021,355679,362639,378628,398716,372989,424025,442461,456049,484976,501103
British Virgin Islands,13,13,18,19,17,21,17,20,18,17,18,31,29,32,31,28,34,39,43,47,46,45,47,43,46,47,52,48,50,52,54,57,55,61,64,64,64,73,73,76,81,84,85,85,86
Brunei Darussalam,2041,1887,2221,2606,2567,2566,2888,2919,3067,2731,3398,2835,3077,3265,3025,3035,3008,3067,3207,3185,3339,3705,3899,4063,4366,4699,4929,5481,4695,4625,4925,4932,4825,5743,5293,5181,7715,7317,8088,8027,7362,7540,7306,7470,7412
Bulgaria,69782,69697,72082,73386,74741,79533,80454,83351,86290,89522,92523,88498,90502,89325,87725,90121,91314,91689,90589,89564,80991,61114,58325,59143,57291,58779,59705,55881,52911,47433,46742,48998,46444,52478,50791,51876,53202,57128,54137,46116,48689,53845,53672,47912,51196
Burkina Faso,442,445,523,482,501,575,523,552,559,650,673,657,680,661,640,664,690,848,875,892,756,901,913,954,1090,1141,1172,1445,1321,1270,1228,1280,1203,1308,1375,1456,1526,1719,2040,1985,2163,2240,2322,2381,2444
Burundi,272,267,287,282,289,313,294,309,315,362,381,370,400,394,393,414,414,489,546,580,499,581,581,606,702,728,733,830,753,709,672,760,767,848,864,859,866,938,991,955,1035,1090,1136,1192,1227
Cabo Verde,42,42,46,50,52,55,80,84,91,112,111,117,47,50,59,61,34,44,49,47,47,52,51,50,46,49,52,57,55,56,80,69,70,72,74,76,76,84,86,85,91,95,97,101,104
Cambodia,382,385,429,449,462,536,517,645,565,591,626,651,661,678,698,768,771,892,864,831,934,873,852,863,882,1489,1649,1760,1976,1929,1987,2174,2234,2403,2404,2676,2986,3483,3938,4114,4152,4474,4668,4615,4760
